date,close,open,high,low,Vol.,change%
10/8/2012,24800,24.75,25,24.75,"1,25M","0,00%"
13/08/2012,24950,25.2,25.55,24.3,"1,36M","0,60%"
14/08/2012,25500,25.1,25.5,24.9,"612,50K","2,20%"
15/08/2012,25450,25.5,25.5,25.05,"894,50K","-0,20%"
16/08/2012,25550,25.5,25.95,25.1,"986,50K","0,39%"
23/08/2012,25500,25.7,27.1,25.1,"3,27M","-0,20%"
24/08/2012,25550,25.5,26.5,25.15,"1,22M","0,20%"
27/08/2012,25700,25.55,25.95,25.5,"89,50K","0,59%"
28/08/2012,25800,26,26.3,25.7,"921,00K","0,39%"
29/08/2012,26950,25.8,27,25.55,"2,14M","4,46%"
30/08/2012,26850,26.2,26.85,26.2,"1,14M","-0,37%"
31/08/2012,27100,26.5,27.35,26.25,"1,87M","0,93%"
3/9/2012,28100,26.6,28.3,26.6,"1,24M","3,69%"
4/9/2012,28000,27.7,28.25,27.7,"1,34M","-0,36%"
5/9/2012,26500,27.75,27.8,26.5,"1,80M","-5,36%"
6/9/2012,27100,26.9,27.25,26.6,"1,57M","2,26%"
7/9/2012,28000,27.5,28.15,27.3,"2,09M","3,32%"
10/9/2012,28350,28.15,28.35,27.85,"965,00K","1,25%"
11/9/2012,28000,28.25,28.25,28,"147,00K","-1,23%"
12/9/2012,27950,28,28.25,27.9,"1,23M","-0,18%"
13/09/2012,27950,28.3,28.3,27.8,"916,50K","0,00%"
14/09/2012,27800,28.3,28.5,27.8,"2,55M","-0,54%"
17/09/2012,28000,28,28.3,27.9,"2,53M","0,72%"
18/09/2012,27700,28,28,26.95,"1,36M","-1,07%"
19/09/2012,27700,27.25,27.7,27.2,"1,25M","0,00%"
20/09/2012,26650,27.25,27.35,26.6,"1,75M","-3,79%"
21/09/2012,26650,26.7,27,26.5,"2,00M","0,00%"
24/09/2012,25750,26.5,26.5,25.7,"3,49M","-3,38%"
25/09/2012,25750,25.75,26.2,25.5,"2,40M","0,00%"
26/09/2012,25100,26,26.05,25.1,"3,25M","-2,52%"
27/09/2012,25750,25.4,26.1,25.4,"4,10M","2,59%"
28/09/2012,26050,26,26.1,25.8,"2,37M","1,17%"
1/10/2012,25750,26,26,25.35,"3,36M","-1,15%"
2/10/2012,26050,25.8,26.2,25.8,"5,63M","1,17%"
3/10/2012,26100,26.1,26.3,26.05,"1,80M","0,19%"
4/10/2012,26100,26.3,26.3,26,"1,89M","0,00%"
5/10/2012,26050,26.15,26.25,26,"1,91M","-0,19%"
8/10/2012,25900,26,26.1,25.55,"1,60M","-0,58%"
9/10/2012,26000,26.05,26.05,25.7,"814,00K","0,39%"
10/10/2012,25900,25.8,26,25.8,"831,00K","-0,38%"
11/10/2012,25950,25.9,26,25.85,"1,24M","0,19%"
12/10/2012,26100,25.95,26.1,25.9,"1,28M","0,58%"
15/10/2012,26000,26.1,26.1,25.9,"448,00K","-0,38%"
16/10/2012,25900,26.05,26.05,25.8,"796,00K","-0,38%"
17/10/2012,25850,25.9,25.95,25.65,"2,29M","-0,19%"
18/10/2012,25950,25.85,25.95,25.7,"1,03M","0,39%"
19/10/2012,26000,25.9,26.05,25.85,"956,50K","0,19%"
22/10/2012,25950,25.9,25.95,25.6,"1,02M","-0,19%"
23/10/2012,25500,25.7,26,25.45,"1,52M","-1,73%"
24/10/2012,25500,25.5,25.85,25.45,"1,10M","0,00%"
25/10/2012,25450,25.6,25.7,25.45,"1,01M","-0,20%"
29/10/2012,25550,25.4,25.6,25.25,"1,07M","0,39%"
30/10/2012,26150,25.55,26.15,25.55,"3,09M","2,35%"
31/10/2012,26050,26.1,26.15,26,"2,77M","-0,38%"
1/11/2012,26300,26,26.3,25.95,"2,75M","0,96%"
2/11/2012,26350,26.35,26.4,26.2,"2,59M","0,19%"
5/11/2012,26100,26.35,26.4,25.95,"1,92M","-0,95%"
6/11/2012,26000,26,26.15,25.75,"1,22M","-0,38%"
7/11/2012,26300,25.9,26.35,25.9,"2,23M","1,15%"
8/11/2012,26250,26,26.25,25.85,"1,20M","-0,19%"
9/11/2012,26000,26.25,26.25,25.85,"966,50K","-0,95%"
12/11/2012,25850,25.85,26.15,25.85,"980,50K","-0,58%"
13/11/2012,25850,26,26,25.85,"868,50K","0,00%"
14/11/2012,26150,25.75,26.2,25.75,"1,18M","1,16%"
19/11/2012,25650,25.85,26.15,25.6,"1,20M","-1,91%"
20/11/2012,26000,25.65,26.15,25.65,"1,44M","1,36%"
21/11/2012,26200,25.9,26.2,25.85,"1,70M","0,77%"
22/11/2012,26300,26.1,26.5,26,"1,24M","0,38%"
23/11/2012,26450,26.3,26.45,26.3,"1,04M","0,57%"
26/11/2012,26900,26.4,26.9,26.4,"1,77M","1,70%"
27/11/2012,25800,26.6,26.7,25.8,"2,39M","-4,09%"
28/11/2012,26300,25.9,26.55,25.9,"1,89M","1,94%"
29/11/2012,26800,26.65,26.8,26.4,"2,61M","1,90%"
30/11/2012,26350,26.75,26.95,26,"2,40M","-1,68%"
3/12/2012,26200,26,26.4,26,"1,03M","-0,57%"
4/12/2012,26250,26,26.25,25.85,"1,73M","0,19%"
5/12/2012,26000,26.2,26.2,25.9,"1,51M","-0,95%"
6/12/2012,26000,25.9,26.1,25.9,"2,01M","0,00%"
7/12/2012,26250,25.9,26.25,25.85,"2,40M","0,96%"
10/12/2012,25950,26.2,26.2,25.85,"1,70M","-1,14%"
11/12/2012,25950,25.95,26.1,25.85,"2,00M","0,00%"
12/12/2012,23150,25.8,25.8,22.75,"17,15M","-10,79%"
13/12/2012,20350,22.5,22.5,20.2,"38,79M","-12,10%"
14/12/2012,22200,20.25,22.35,20.1,"31,32M","9,09%"
17/12/2012,21800,22.2,22.4,21.6,"5,38M","-1,80%"
18/12/2012,21600,22,22,21.15,"4,72M","-0,92%"
19/12/2012,21550,21.65,21.65,21.2,"3,78M","-0,23%"
20/12/2012,20550,21.2,21.4,20.4,"8,26M","-4,64%"
21/12/2012,20800,20.55,21.1,20.5,"3,78M","1,22%"
26/12/2012,21300,21.15,21.35,21.1,"1,38M","2,40%"
27/12/2012,21200,21.4,21.5,21.05,"1,59M","-0,47%"
28/12/2012,20850,21.4,21.4,20.8,"2,73M","-1,65%"
2/1/2013,21850,20.9,21.9,20.9,"3,44M","4,80%"
3/1/2013,22100,21.9,22.3,21.9,"4,18M","1,14%"
4/1/2013,21750,22.3,22.3,21.75,"2,30M","-1,58%"
7/1/2013,21700,21.75,22,21.7,"1,83M","-0,23%"
8/1/2013,21650,21.6,21.85,21.6,"2,01M","-0,23%"
9/1/2013,21450,21.65,21.75,21.2,"4,30M","-0,92%"
10/1/2013,21250,21.55,21.55,21.25,"1,51M","-0,93%"
11/1/2013,21300,21.4,21.65,21.25,"1,81M","0,24%"
14/01/2013,21150,21.3,21.4,21.15,"2,53M","-0,70%"
15/01/2013,21250,21.5,21.55,21.25,"1,25M","0,47%"
16/01/2013,21600,21.3,21.65,21.25,"1,35M","1,65%"
17/01/2013,21500,21.6,21.85,21.5,"2,06M","-0,46%"
18/01/2013,22450,21.75,22.45,21.7,"5,30M","4,42%"
21/01/2013,23000,22.45,23,22.4,"4,02M","2,45%"
22/01/2013,22850,23.1,23.15,22.55,"2,11M","-0,65%"
23/01/2013,22450,22.9,22.95,22.3,"2,45M","-1,75%"
25/01/2013,22250,22.75,22.85,21.9,"2,10M","-0,89%"
28/01/2013,22050,22.25,22.25,21.7,"1,77M","-0,90%"
29/01/2013,21650,22.15,22.15,21.6,"2,70M","-1,81%"
30/01/2013,21600,21.8,21.8,21.35,"2,92M","-0,23%"
31/01/2013,22050,21.6,22.05,21.4,"3,63M","2,08%"
1/2/2013,21950,21.85,22.15,21.8,"1,54M","-0,45%"
4/2/2013,21950,22.15,22.2,21.85,"1,60M","0,00%"
5/2/2013,22200,21.85,22.25,21.65,"3,37M","1,14%"
6/2/2013,22200,22.35,22.4,22.15,"2,08M","0,00%"
7/2/2013,22300,22.1,22.3,22.1,"1,82M","0,45%"
8/2/2013,22000,22.4,22.45,22,"2,11M","-1,35%"
11/2/2013,21950,22.25,22.25,21.95,"1,24M","-0,23%"
12/2/2013,22300,21.95,22.35,21.95,"1,55M","1,59%"
13/02/2013,22800,22.2,22.9,22.2,"3,44M","2,24%"
14/02/2013,22750,22.7,22.75,22.5,"1,22M","-0,22%"
15/02/2013,23000,22.6,23.15,22.6,"4,74M","1,10%"
18/02/2013,22900,23,23.1,22.85,"617,50K","-0,43%"
19/02/2013,22750,22.9,22.9,22.6,"723,50K","-0,66%"
20/02/2013,23200,23.1,23.3,22.95,"3,93M","1,98%"
21/02/2013,23150,23.1,23.2,22.8,"1,76M","-0,22%"
22/02/2013,22950,23.15,23.15,22.7,"2,53M","-0,86%"
25/02/2013,22850,22.9,22.95,22.5,"2,23M","-0,44%"
26/02/2013,22300,22.95,22.95,22.1,"2,32M","-2,41%"
27/02/2013,22650,22.3,22.7,22.3,"2,15M","1,57%"
28/02/2013,22850,22.7,22.9,22.6,"1,92M","0,88%"
1/3/2013,22750,23,23,22.6,"935,50K","-0,44%"
4/3/2013,23000,22.9,23,22.8,"2,29M","1,10%"
5/3/2013,22800,22.7,23,22.65,"1,54M","-0,87%"
6/3/2013,22950,22.95,23.05,22.8,"1,40M","0,66%"
7/3/2013,22850,22.95,23.1,22.75,"1,55M","-0,44%"
8/3/2013,23000,22.85,23.1,22.85,"1,56M","0,66%"
11/3/2013,22900,22.95,23,22.5,"2,34M","-0,43%"
13/03/2013,22800,22.9,22.9,22.5,"2,10M","-0,44%"
14/03/2013,22000,22.5,22.65,21.7,"5,00M","-3,51%"
15/03/2013,22300,22.4,22.8,22.15,"2,51M","1,36%"
18/03/2013,22500,22.3,22.6,22.3,"1,22M","0,90%"
19/03/2013,22750,22.55,22.85,22.55,"2,08M","1,11%"
20/03/2013,22550,22.75,22.75,22.4,"1,30M","-0,88%"
21/03/2013,22800,22.3,22.8,22.25,"1,47M","1,11%"
22/03/2013,22100,22.8,22.8,22.05,"2,93M","-3,07%"
25/03/2013,22750,22.3,22.75,22.3,"2,51M","2,94%"
26/03/2013,22450,22.45,22.5,22.1,"2,59M","-1,32%"
27/03/2013,22750,22.3,22.75,22.25,"2,08M","1,34%"
28/03/2013,22800,22.65,22.8,22.35,"1,38M","0,22%"
1/4/2013,22150,22.4,22.8,22.15,"1,74M","-2,85%"
2/4/2013,22650,22.15,22.65,22.15,"2,55M","2,26%"
3/4/2013,22700,22.7,22.9,22.5,"1,49M","0,22%"
4/4/2013,22750,22.7,22.75,22.5,"1,85M","0,22%"
5/4/2013,22950,22.75,23.1,22.75,"2,32M","0,88%"
8/4/2013,22900,22.95,22.95,22.75,"1,04M","-0,22%"
9/4/2013,22700,22.9,22.95,22.7,"1,35M","-0,87%"
10/4/2013,22750,22.7,22.85,22.65,"1,11M","0,22%"
11/4/2013,22900,22.55,22.9,22.55,"793,50K","0,66%"
12/4/2013,22800,23,23,22.65,"754,00K","-0,44%"
15/04/2013,22500,22.7,22.7,22.45,"1,85M","-1,32%"
16/04/2013,22850,22.45,22.85,22.4,"2,16M","1,56%"
17/04/2013,22700,22.6,22.75,22.55,"1,43M","-0,66%"
18/04/2013,22650,22.75,22.75,22.45,"1,15M","-0,22%"
19/04/2013,22650,22.7,22.7,22.4,"733,50K","0,00%"
22/04/2013,22500,22.65,22.85,22.45,"935,50K","-0,66%"
23/04/2013,22800,22.45,22.85,22.45,"881,50K","1,33%"
24/04/2013,23000,22.65,23,22.6,"1,38M","0,88%"
25/04/2013,23000,23,23,22.85,"1,39M","0,00%"
26/04/2013,22750,23,23,22.75,"1,80M","-1,09%"
29/04/2013,23000,22.95,23,22.65,"1,07M","1,10%"
30/04/2013,26250,23,26.25,22.9,"13,44M","14,13%"
1/5/2013,25700,25,25.85,24.8,"2,12M","-2,10%"
2/5/2013,25250,25.5,25.5,25.2,"2,65M","-1,75%"
3/5/2013,25900,25.35,26.25,25.35,"2,87M","2,57%"
6/5/2013,27000,26.1,27,26.1,"2,56M","4,25%"
7/5/2013,27050,26,27.1,25.9,"2,61M","0,19%"
8/5/2013,27700,27,28,26.7,"2,75M","2,40%"
10/5/2013,27500,27.2,27.5,27.05,"2,10M","-0,72%"
13/05/2013,27650,27,27.65,26.9,"1,69M","0,55%"
14/05/2013,28200,27.65,28.2,27.4,"1,88M","1,99%"
15/05/2013,28100,28.2,28.4,28,"1,15M","-0,35%"
16/05/2013,28150,27.5,28.5,27.5,"1,43M","0,18%"
17/05/2013,31250,28.15,32.5,28.15,"2,83M","11,01%"
20/05/2013,31550,31.25,31.85,31.25,"2,27M","0,96%"
21/05/2013,30950,31.7,31.8,30,"1,71M","-1,90%"
22/05/2013,30850,30.95,31.5,30.85,"1,06M","-0,32%"
23/05/2013,31600,30.45,31.95,30.45,"1,99M","2,43%"
24/05/2013,32299,31.05,32.4,31.05,"959,50K","2,22%"
27/05/2013,31500,31.7,32.15,31.1,"2,16M","-2,48%"
28/05/2013,33050,31.5,34.45,31,"1,98M","4,92%"
29/05/2013,33450,33.45,34.5,32.1,"2,14M","1,21%"
30/05/2013,32350,33.25,33.25,32.3,"2,03M","-3,29%"
31/05/2013,30500,32.15,32.5,30.05,"5,28M","-5,72%"
3/6/2013,29050,30,30,28.9,"2,75M","-4,75%"
4/6/2013,31300,29.3,31.55,28.9,"2,64M","7,75%"
5/6/2013,31000,30.65,31,29.55,"3,82M","-0,96%"
7/6/2013,28900,30.8,30.8,28.65,"4,98M","-6,77%"
10/6/2013,27700,28.9,29.25,27.4,"2,20M","-4,15%"
11/6/2013,26900,28.1,28.1,26.9,"2,45M","-2,89%"
12/6/2013,29450,26.75,29.9,25.95,"2,16M","9,48%"
13/06/2013,27800,28.5,29.45,27.8,"2,98M","-5,60%"
14/06/2013,28850,28.3,29,28.1,"2,46M","3,78%"
17/06/2013,28900,28.6,29.5,28.5,"1,28M","0,17%"
18/06/2013,29500,29.4,30.45,29.4,"2,21M","2,08%"
19/06/2013,29000,29.3,30.3,29,"1,27M","-1,69%"
20/06/2013,27550,28.9,29,27.5,"2,24M","-5,00%"
21/06/2013,27250,26.5,27.65,26.2,"4,62M","-1,09%"
24/06/2013,26400,27.25,28.2,26.4,"1,68M","-3,12%"
25/06/2013,26000,26.2,27.5,25.55,"3,19M","-1,52%"
26/06/2013,28000,26.7,29.6,26.55,"4,09M","7,69%"
27/06/2013,29400,28.5,30.2,28.5,"6,02M","5,00%"
28/06/2013,30750,29.8,30.75,29.8,"4,27M","4,59%"
1/7/2013,29550,26,30.3,26,"611,00K","-3,90%"
2/7/2013,29950,30.05,30.3,29.75,"1,27M","1,35%"
3/7/2013,28300,30.05,30.1,28.3,"2,64M","-5,51%"
4/7/2013,28200,28.6,29.3,28.2,"777,50K","-0,35%"
5/7/2013,29300,28.7,29.5,28.7,"1,21M","3,90%"
8/7/2013,28000,29.1,29.25,28,"1,24M","-4,44%"
9/7/2013,27850,27.5,28.35,27.5,"1,09M","-0,54%"
10/7/2013,29400,28.6,29.5,28.35,"1,70M","5,57%"
11/7/2013,31650,29.55,31.9,29.55,"3,66M","7,65%"
12/7/2013,31000,31.5,31.65,30.8,"2,66M","-2,05%"
15/07/2013,31750,31,31.75,30.25,"1,75M","2,42%"
16/07/2013,31750,31.25,32.45,31,"1,90M","0,00%"
17/07/2013,32900,31.75,32.9,31.5,"1,29M","3,62%"
18/07/2013,33900,32,34.35,32,"2,70M","3,04%"
19/07/2013,34600,33.8,34.6,33.7,"2,64M","2,06%"
22/07/2013,33000,33.9,34.6,33,"951,50K","-4,62%"
23/07/2013,34000,33,34,33,"1,70M","3,03%"
24/07/2013,34000,34.2,34.4,32.3,"2,50M","0,00%"
25/07/2013,32850,34.1,34.3,32.8,"1,78M","-3,38%"
26/07/2013,32950,32.85,33.5,32.45,"618,00K","0,30%"
29/07/2013,31800,32.9,32.95,31.6,"1,62M","-3,49%"
30/07/2013,32200,32,33.2,32,"1,46M","1,26%"
31/07/2013,31800,31.7,32.65,31.65,"1,79M","-1,24%"
1/8/2013,31950,32,32.35,31.65,"1,84M","0,47%"
2/8/2013,31450,32,32,30.95,"1,91M","-1,56%"
12/8/2013,30000,31.55,31.55,28.5,"2,95M","-4,61%"
13/08/2013,31350,30.4,31.55,30.05,"2,68M","4,50%"
14/08/2013,31250,31.35,31.6,30.9,"1,00M","-0,32%"
15/08/2013,30700,30.75,30.95,30.15,"1,31M","-1,76%"
16/08/2013,30700,30.6,31.35,30.3,"1,00M","0,00%"
19/08/2013,29200,30.2,30.75,29.2,"1,19M","-4,89%"
20/08/2013,28900,28.7,29.25,27.3,"3,61M","-1,03%"
21/08/2013,29500,28.95,29.95,28.6,"1,75M","2,08%"
22/08/2013,29750,29,29.75,28.5,"1,66M","0,85%"
23/08/2013,29000,29.3,30.4,29,"1,56M","-2,52%"
26/08/2013,28300,28.6,29.55,28.3,"991,50K","-2,41%"
27/08/2013,27850,28,28.25,27.3,"1,44M","-1,59%"
28/08/2013,28000,27.4,28.8,26.6,"1,95M","0,54%"
29/08/2013,28350,28,28.85,27.55,"2,96M","1,25%"
30/08/2013,31200,28.5,32.2,28.4,"4,45M","10,05%"
2/9/2013,30600,31.2,31.2,30.1,"1,55M","-1,92%"
3/9/2013,31500,30.65,31.5,30.25,"2,95M","2,94%"
4/9/2013,30550,31.5,31.5,30.4,"1,07M","-3,02%"
5/9/2013,31000,31.05,31.45,30.65,"1,30M","1,47%"
6/9/2013,31900,31.5,32,31,"2,16M","2,90%"
9/9/2013,32000,31.95,32.2,31.8,"1,84M","0,31%"
10/9/2013,33000,32.25,33,32,"2,85M","3,13%"
11/9/2013,33000,33.1,33.3,32.4,"2,44M","0,00%"
12/9/2013,30850,32.5,32.7,30.85,"2,79M","-6,52%"
13/09/2013,30700,30.8,31.25,30.6,"1,27M","-0,49%"
16/09/2013,32150,30.9,32.15,30.85,"2,21M","4,72%"
17/09/2013,31500,32,32,30.9,"2,34M","-2,02%"
18/09/2013,30750,31.85,31.85,30.75,"1,82M","-2,38%"
19/09/2013,31600,31.5,33,31.5,"3,76M","2,76%"
20/09/2013,32000,31.6,32,31.25,"1,35M","1,27%"
23/09/2013,31950,31.5,32,30.8,"1,56M","-0,16%"
24/09/2013,31500,31.4,32.05,31.4,"1,54M","-1,41%"
25/09/2013,31500,30.75,31.8,30.75,"2,04M","0,00%"
26/09/2013,30800,31.9,31.95,30.8,"2,06M","-2,22%"
27/09/2013,30950,31.3,31.75,30.95,"1,04M","0,49%"
30/09/2013,30150,30.95,31.15,30.15,"1,97M","-2,58%"
1/10/2013,30300,30.15,30.7,30.05,"1,33M","0,50%"
2/10/2013,31000,30.3,31,30.3,"950,50K","2,31%"
3/10/2013,30900,30.8,31.45,30.8,"1,03M","-0,32%"
4/10/2013,30700,30.9,30.9,30.5,"1,99M","-0,65%"
7/10/2013,30300,30.7,30.7,30.3,"1,22M","-1,30%"
8/10/2013,30450,30.3,30.6,30.15,"2,14M","0,50%"
9/10/2013,30250,30.5,30.7,30.25,"2,73M","-0,66%"
10/10/2013,30300,30.6,30.75,30.3,"1,88M","0,17%"
11/10/2013,30750,30.5,30.75,30.35,"1,82M","1,49%"
16/10/2013,30100,30.75,30.9,29.6,"3,00M","-2,11%"
17/10/2013,30600,30.6,30.7,30.15,"1,46M","1,66%"
18/10/2013,30800,30.7,30.8,30.5,"927,50K","0,65%"
21/10/2013,31500,31,31.65,30.8,"1,31M","2,27%"
22/10/2013,30800,31.6,31.6,30.5,"2,63M","-2,22%"
23/10/2013,31700,31.15,37.35,31.05,"13,21M","2,92%"
24/10/2013,32150,31.5,32.35,31.5,"1,68M","1,42%"
25/10/2013,32049,31.95,32.15,31.95,"825,00K","-0,31%"
28/10/2013,32000,32.15,32.25,31.95,"718,50K","-0,16%"
29/10/2013,31800,32,32.1,31.6,"1,20M","-0,63%"
30/10/2013,31250,32.1,32.1,30.65,"2,59M","-1,73%"
31/10/2013,30000,30.5,30.8,30,"3,45M","-4,00%"
1/11/2013,29800,29.8,30.6,29.8,"2,40M","-0,67%"
4/11/2013,29850,30,30.1,29.5,"1,08M","0,17%"
6/11/2013,30800,30.05,30.8,29.85,"1,79M","3,18%"
7/11/2013,30200,30.15,30.7,30.15,"726,00K","-1,95%"
8/11/2013,30150,30.2,30.2,30,"995,00K","-0,17%"
